id,user,created_at,text,fav,RT,follower,follows,user_id,check
1270710742795214848,patapatamanma,2020-06-10 13:33:44,@yamadabb0864 コロナウィルスは人工的に作られて意図的にばら撒かれたものです。世界中の死者や感染者は水増しされてます。死体もフェイクです。詐欺なんです。是非、プランデミックという動画を見てください。https://t.co/uvwmTDLNT5,0,0,524,559,2909998830,
1270710424929894401,neko_2222,2020-06-10 13:32:28,RT @justice0613: @arigatainaaa @neko_2222 ホントに…ドＭの主催者だらけかって思うと情けないです😭挙げ句の果てにはそれでクラウドファンディングなんて募りやがって！自分で勇気出して開催しろよと思いますよ！コロナなんてフェイクなんだし笑,0,1,281,101,2183942779,
1270709155280502786,superbigchoco1,2020-06-10 13:27:25,@ta_fujihara 誤報だ、捏造だ、フェイクだはお前らに向けられてる言葉なのに、聞いていてデジャブみたいになってんのか、受け狙いなのか。情報処理に時差があるのか、コロナ騒ぎから非常に全てが遅延している模様。断っておきますがスピード感は言葉のみ、すべて手遅れ。,1,1,32,44,1233502638357897217,
1270709131519750148,justice0613,2020-06-10 13:27:20,@arigatainaaa @neko_2222 ホントに…ドＭの主催者だらけかって思うと情けないです😭挙げ句の果てにはそれでクラウドファンディングなんて募りやがって！自分で勇気出して開催しろよと思いますよ！コロナなんてフェイクなんだし笑,3,1,220,116,1261762859643465729,
1270707984818044928,GreedShaman,2020-06-10 13:22:46,コロナはフェイクとかいう人の頭はどうかしてるの？(笑),0,0,246,961,1253304227788500994,
1270707806904016896,ven13137,2020-06-10 13:22:04,もともとコロナ騒ぎもフェイクだった。戦いに勝つには日本文化しかない！ https://t.co/XxtiSeMHAO,0,0,3213,4925,480408260,
1270706836983779329,sasuke01sasuke,2020-06-10 13:18:13,@ocaki40 ブッシュの時は『テロとの戦いだ！』今回は『未知のウィルスとの戦いだ！』マッチポンプで同じ手口で今回も経済を壊す為の完全にフェイク！新型コロナはウィルスの怖さの1/100https://t.co/Pnk7pQLdtL,0,0,698,1100,2960493066,
1270700927020756992,Dream83774457,2020-06-10 12:54:44,RT @shiroi_suna_: 〝却下〟って何だろう、却下って。子供が熱中症で死んだらどうするつもりなのか？子供の命より世間体や自分の保身の方が大事なのか？そんな教師どもは辞めちまえ❗　教師の資格なし❗そもそも、コロナなんてフェイク (茶番) 。そんなものはテレビの…,0,4,151,188,924462130526486529,
1270698740911714305,toshiden_ika,2020-06-10 12:46:02,RT @Space_417: トランプを嫌いな人も多いだろう私もコロナ禍になるまでは彼はコロナがフェイクと知っているだからマスクもつけずに抗マラリア薬を飲んでみせるパフォーマンスをしたこの映像はパフォーマンスかもしれないしかし教会の前で本気で悪魔と戦うことを誓った#…,0,19,15,45,1263693025638637568,
1270696011569094657,bmond2002,2020-06-10 12:35:12,RT @BCJ_Humanism: コロナの裏側で何が起きているのか。政府も国民も冷静に現実と向き合わなければならない。既存メディアはフェイクばかり、自分の頭で考えて立ち上がろう。#八重山日報#尖閣諸島問題に取り組まない政治家を私は支持しません #尖閣諸島は日本固有の領土,0,16,1461,1382,1294263608,
